ID,VIN,DealerNotes,EngineSize,Horsepower,Country,RandomCode,Mileage,Price
51,VIN00051,Good condition,1.7,130,USA,X051,11500,17000
52,VIN00052,,2,160,USA,X052,15500,21000
53,VIN00053,,2.4,190,Canada,X053,20500,24000
54,VIN00054,,3.4,290,USA,X054,31500,39000
55,VIN00055,,1.6,120,USA,X055,10000,16000
56,VIN00056,,2.3,180,Mexico,X056,19500,23500
57,VIN00057,,2.7,220,USA,X057,23000,29000
58,VIN00058,,3.1,260,USA,X058,28000,34000
59,VIN00059,,1.4,100,Canada,X059,9000,14500
60,VIN00060,Excellent,2.5,200,USA,X060,21000,25500
61,VIN00061,,1.8,140,USA,X061,13000,18000
62,VIN00062,,2,160,USA,X062,16000,21000
63,VIN00063,,2.4,190,Canada,X063,20000,24000
64,VIN00064,,3,250,USA,X064,25000,32000
65,VIN00065,,1.6,120,USA,X065,9000,16000
66,VIN00066,,2.2,170,USA,X066,21000,23000
67,VIN00067,,2.5,200,Mexico,X067,26000,26000
68,VIN00068,,3.5,300,USA,X068,32000,40000
69,VIN00069,,1.4,100,USA,X069,8500,14000
70,VIN00070,,2,160,USA,X070,17500,21000
71,VIN00071,,1.8,140,USA,X071,14000,18500
72,VIN00072,,2.4,190,Canada,X072,21500,24500
73,VIN00073,,3.2,270,USA,X073,27000,35000
74,VIN00074,,1.5,110,Mexico,X074,7000,15000
75,VIN00075,,2.1,165,USA,X075,16500,22000
76,VIN00076,Excellent,2.6,210,USA,X076,26500,28000
77,VIN00077,,3,250,USA,X077,29000,33000
78,VIN00078,,1.3,95,Canada,X078,6500,13000
79,VIN00079,,2.2,170,USA,X079,19500,22500
80,VIN00080,,2.8,230,USA,X080,24500,30000
81,VIN00081,,1.7,130,USA,X081,11500,17000
82,VIN00082,,2,160,USA,X082,15500,21000
83,VIN00083,,2.4,190,Canada,X083,20500,24000
84,VIN00084,,3.4,290,USA,X084,31500,39000
85,VIN00085,,1.6,120,USA,X085,10000,16000
86,VIN00086,,2.3,180,Mexico,X086,19500,23500
87,VIN00087,,2.7,220,USA,X087,23000,29000
88,VIN00088,,3.1,260,USA,X088,28000,34000
89,VIN00089,,1.4,100,Canada,X089,9000,14500
90,VIN00090,Excellent,2.5,200,USA,X090,21000,25500
91,VIN00091,,1.8,140,USA,X091,13000,18000
92,VIN00092,,2,160,USA,X092,16000,21000
93,VIN00093,,2.4,190,Canada,X093,20000,24000
94,VIN00094,,3,250,USA,X094,25000,32000
95,VIN00095,,1.6,120,USA,X095,9000,16000
96,VIN00096,,2.2,170,USA,X096,21000,23000
97,VIN00097,,2.5,200,Mexico,X097,26000,26000
98,VIN00098,,3.5,300,USA,X098,32000,40000
99,VIN00099,,1.4,100,USA,X099,8500,14000
100,VIN00100,Excellent,2,160,USA,X100,17500,21000
